ticker,name,start_date,end_date,add_reason,remove_reason,source,cik
AAL,American Airlines Group Inc,2014-12-22,2020-04-20,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
AAPL,Apple Inc.,1985-01-30,,Annual Re-ranking,,fmp:nasdaq100,0000320193
ABNB,Airbnb,2021-12-20,,Annual Re-ranking,,fmp:nasdaq100,0001559720
ADBE,Adobe Inc.,1986-08-19,,Annual Re-ranking,,fmp:nasdaq100,0000796343
ADI,Analog Devices,2012-12-24,,Annual Re-ranking,,fmp:nasdaq100,0000006281
ADP,ADP,2008-12-22,,Annual Re-ranking,,fmp:nasdaq100,0000008670
ADSK,Autodesk,2004-12-20,,Annual Re-ranking,,fmp:nasdaq100,0000769397
AEO,American Eagle Outfitters Inc,2006-12-12,2007-03-08,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
AEP,American Electric Power,2020-12-21,,Annual Re-ranking,,fmp:nasdaq100,0000004904
AKAM,Akamai Technologies Inc,2006-04-20,2009-12-21,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
AKAM,Akamai Technologies Inc,2010-12-20,2017-12-08,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
ALAB,"Astera Labs, Inc. Common Stock",2026-06-22,,Quarterly rebalance,,fmp:nasdaq100,0001736297
ALGN,Align Technology Inc,2017-10-23,2023-12-18,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
ALNY,Alnylam Pharmaceuticals,2025-12-21,,Annual Re-ranking,,fmp:nasdaq100,0001178670
ALTR,Altera Corp.,1995-07-19,2015-10-07,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
ALXN,Alexion Pharmaceuticals Inc,2011-05-06,2021-07-21,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
AMAT,Applied Materials,1985-01-30,,,,fmp:nasdaq100,0000006951
AMD,Advanced Micro Devices Inc.,2018-12-24,,Annual Re-ranking,,fmp:nasdaq100,0000002488
AMGN,Amgen,1989-01-30,,Annual Re-ranking,,fmp:nasdaq100,0000318154
AMLN,Amylin Pharmaceutical Corp,2006-01-09,2008-12-22,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
AMZN,Amazon,1998-12-21,,Annual Re-ranking,,fmp:nasdaq100,0001018724
ANSS,ANSYS Inc,2019-12-23,2025-07-28,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
APCC,American Power Conversion Corp,2002-12-23,2007-02-14,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
APOL,Apollo Education Group,2001-12-17,2012-12-24,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
APP,Applovin Corp,2024-11-17,,Annual Re-ranking,,fmp:nasdaq100,0001751008
ARM,Arm Holdings,2024-06-24,,Annual Re-ranking,,fmp:nasdaq100,0001973239
ASML,ASML Holding,2017-12-08,,Annual Re-ranking,,fmp:nasdaq100,0000937966
ATVI,Activision Blizzard Inc,2005-12-19,2023-07-17,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
ATYT,ATI Technologies Inc.,2003-12-22,2006-10-24,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
AVGO,Broadcom Inc.,2011-12-19,,Annual Re-ranking,,fmp:nasdaq100,0001730168
AXON,Axon Enterprise Inc.,2024-12-22,,Annual Re-ranking,,fmp:nasdaq100,0001069183
AZN,AstraZeneca plc (ADR),2022-02-22,2026-01-19,Annual Re-ranking,Walmart transferred its listing from NYSE to NASDAQ and replaced AstraZeneca in the index,fmp:nasdaq100,
BATRA,Liberty Braves Group Series A,2016-04-18,2016-06-20,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
BATRK,Liberty Braves Group Series C,2016-04-18,2016-06-20,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
BB,BlackBerry Ltd,2003-12-22,2012-12-24,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
BBBY,Bed Bath & Beyond Inc,1996-12-23,2016-12-09,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
BEAS,BEA Systems Inc,2000-12-18,2008-04-30,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
BIDU,"Baidu.com, Inc.",2007-12-04,2022-12-19,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
BIIB,Biogen Idec Inc,2000-12-18,2025-12-21,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
BKNG,Booking Holdings,2009-10-29,,Annual Re-ranking,,fmp:nasdaq100,0001075531
BKR,Baker Hughes,2022-12-19,,Annual Re-ranking,,fmp:nasdaq100,0001701605
BMC,BMC Software Inc,2009-12-21,2013-07-25,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
BMET,Biomet Inc,1985-01-29,2007-07-12,,Annual Re-ranking,fmp:nasdaq100,
BMRN,Biomarin Pharmaceutical Inc,2015-07-27,2020-12-21,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
BRCM,Broadcom Corp,2000-10-30,2015-11-11,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
CA,CA Inc,2008-05-19,2018-11-05,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
CCEP,Coca-Cola Europacific Partners,2023-12-18,,Annual Re-ranking,,fmp:nasdaq100,0001650107
CDNS,Cadence Design Systems,2005-12-19,2008-12-22,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,0000813672
CDNS,Cadence Design Systems,2017-12-08,,Annual Re-ranking,,fmp:nasdaq100,0000813672
CDW,CDW Corp,2019-12-23,2021-12-20,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
CDW,CDW Corp,2023-12-18,2025-12-21,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
CDWC,CDW Corp,2001-12-24,2007-10-08,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
CEG,Constellation Energy,2022-02-02,,Annual Re-ranking,,fmp:nasdaq100,0001868275
CELG,Celgene Corp,2005-07-01,2019-11-21,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
CEPH,Cephalon Inc,2001-12-24,2004-12-20,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
CEPH,Cephalon Inc,2007-06-01,2011-07-15,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
CERN,Cerner Corp,2009-07-17,2021-12-20,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
CHIR,Chiron Corp,1985-01-29,2006-04-20,,Annual Re-ranking,fmp:nasdaq100,
CHKP,Check Point Ltd.,2000-12-18,2021-12-20,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
CHRW,C.H. Robinson Worldwide Inc,2002-12-23,2015-12-21,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
CHTR,Charter Communications Inc,2013-07-25,2026-06-22,Annual Re-ranking,Quarterly rebalance,fmp:nasdaq100,
CKFR,Checkfree Corp,2005-12-19,2007-12-04,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
CMCSA,Comcast,2002-11-19,,Annual Re-ranking,,fmp:nasdaq100,0001166691
