ticker,name,start_date,end_date,add_reason,remove_reason,source,cik
A,Agilent Technologies,2000-06-02,,Annual Re-ranking,,fmp:sp500,0001090872
AA,Alcoa Inc,1957-03-02,2016-11-01,,Annual Re-ranking,fmp:sp500,
AAL,American Airlines Group,2015-03-20,2024-09-23,Allergan acquired by Actavis (and changed name to Allergan).,Market capitalization change.,fmp:sp500,
AAP,Advance Auto Parts Inc,2015-07-08,2023-08-24,Family Dollar acquired.,S&P 500 and S&P 100 constituent Johnson & Johnson offered to exchange the shares of Kenvue held for shares of Johnson & Johnson in a split-off exchange offer.,fmp:sp500,
AAPL,Apple Inc.,1982-11-18,,Annual Re-ranking,,fmp:sp500,0000320193
ABBV,AbbVie,2013-01-01,,ABBV spun off from Abbott Labs (ABT),,fmp:sp500,0001551152
ABI,Applied Biosystems Inc.,1974-10-17,2008-11-21,Annual Re-ranking,Annual Re-ranking,fmp:sp500,
ABMD,ABIOMED Inc,2018-05-30,2022-12-21,Wyndham Worldwide spun off Wyndham Hotels & Resorts (NYSE:WH).,S&P 500 constituent Johnson & Johnson acquired Abiomed.,fmp:sp500,
ABNB,Airbnb,2023-09-15,,Market capitalization change.,,fmp:sp500,0001559720
ABS,Albertson's Inc.,1984-11-23,2006-06-01,Annual Re-ranking,Albertsons acquired by SuperValu and CVS Corp.,fmp:sp500,
ABT,Abbott Laboratories,1957-03-04,,,,fmp:sp500,0000001800
ACAS,American Capital Ltd,2007-07-06,2009-03-03,Annual Re-ranking,Capitalization rebalance.,fmp:sp500,
ACE,Chubb Corp.,1957-03-02,2016-01-15,,"EXR replaces ACE as ACE Ltd acquires Chubb and retains the CB ticker, giving up ACE",fmp:sp500,
ACGL,Arch Capital Group,2022-10-31,,Elon Musk acquired Twitter.,,fmp:sp500,0000947484
ACN,Accenture,2011-07-05,,Marshall & Iisley is being bought by Bank of Montreal,,fmp:sp500,0001467373
ACS,American Crystal Sugar Co,2004-04-01,2010-02-05,Annual Re-ranking,Annual Re-ranking,fmp:sp500,
ACV,,1971-03-04,2006-11-16,Annual Re-ranking,Annual Re-ranking,fmp:sp500,
ADBE,Adobe Inc.,1997-05-05,,Annual Re-ranking,,fmp:sp500,0000796343
ADCT,ADC Telecommunications Inc,1999-07-30,2007-06-29,Annual Re-ranking,"Discover Financial Services Debuts On New York Stock Exchange Under Ticker Symbol DFS
",fmp:sp500,
ADI,Analog Devices,1999-10-11,,Annual Re-ranking,,fmp:sp500,0000006281
ADM,Archer Daniels Midland,1981-07-30,,Annual Re-ranking,,fmp:sp500,0000007084
ADP,Automatic Data Processing,1981-02-26,,Annual Re-ranking,,fmp:sp500,0000008670
ADS,Alliance Data Systems Corp.,2013-12-20,2020-06-19,Market capitalization changes.,Market capitalization change.,fmp:sp500,
ADSK,Autodesk,1989-12-20,,Annual Re-ranking,,fmp:sp500,0000769397
ADT,ADT Corp.,2012-09-28,2016-05-02,Tyco spun off ADT,ADT acquired by APO,fmp:sp500,
AEE,Ameren,1991-09-19,,Annual Re-ranking,,fmp:sp500,0001002910
AEP,American Electric Power,1957-03-04,,,,fmp:sp500,0000004904
AES,AES Corporation,1998-10-01,,Annual Re-ranking,,fmp:sp500,0000874761
AET,Aetna Inc.,1976-07-01,2018-11-30,Annual Re-ranking,CVS acquired Aetna,fmp:sp500,
AFL,Aflac,1999-05-27,,Annual Re-ranking,,fmp:sp500,0000004977
AGN,Allergan Inc.,1999-04-09,2020-05-11,Annual Re-ranking,Allergan acquired by AbbVie.,fmp:sp500,
AIG,American International Group,1980-02-14,,Annual Re-ranking,,fmp:sp500,0000005272
AIV,Aimco,2003-03-13,2020-12-18,Annual Re-ranking,Apartment Investment and Management (Aimco) spun off Apartment Income REIT.,fmp:sp500,
AIZ,Assurant,2007-04-09,,Annual Re-ranking,,fmp:sp500,0001267238
AJG,Arthur J. Gallagher & Co.,2016-05-27,,CCE merging with European bottlers,,fmp:sp500,0000354190
AKAM,Akamai Technologies,2007-07-11,,Annual Re-ranking,,fmp:sp500,0001086222
AKS,AK Steel Holding Corp.,2008-06-30,2011-12-16,Ak Steel replaced Countrywide Financial.,Market capitalization changes,fmp:sp500,
ALB,Albemarle Corporation,2016-06-30,,TE acquired by EMA,,fmp:sp500,0000915913
ALGN,Align Technology,2017-06-19,,Market capitalization changes.,,fmp:sp500,0001097149
ALK,Alaska Air Group,2016-05-12,2023-12-15,SNDK acquired by WDC,Market capitalization change.,fmp:sp500,
ALL,Allstate,1995-07-12,,Annual Re-ranking,,fmp:sp500,0000899051
ALLE,Allegion,2013-11-29,,Allegion spun off by Ingersoll Rand.,,fmp:sp500,0001579241
ALTR,Altera Corp.,2000-04-17,2015-12-28,Annual Re-ranking,ALTR taken over by INTC,fmp:sp500,
ALXN,Alexion Pharmaceuticals Inc,2012-05-24,2021-07-20,Acquired by Google (GOOG),AstraZeneca acquired Alexion Pharmaceuticals.,fmp:sp500,
AM,Armour & Co,1989-10-04,2004-04-30,Annual Re-ranking,Annual Re-ranking,fmp:sp500,
AMAT,Applied Materials,1995-03-15,,Annual Re-ranking,,fmp:sp500,0000006951
AMBC,Ambac Financial Group Inc.,2000-12-08,2008-06-10,"Market Cap changes.
",Market Value Decline,fmp:sp500,
AMCC,Applied Micro Circuits Corp.,1957-03-02,2006-05-17,,Annual Re-ranking,fmp:sp500,
AMCR,Amcor,2019-06-06,,BMS changed to AMCR post merger with Amcor;,,fmp:sp500,0001748790
AMD,Advanced Micro Devices,1984-06-21,2013-09-20,Annual Re-ranking,Market capitalization change.,fmp:sp500,0000002488
AMD,Advanced Micro Devices,2017-03-19,,Market capitalization change.,,fmp:sp500,0000002488
AME,Ametek,2013-09-20,,Market capitalization change.,,fmp:sp500,0001037868
AMG,Affiliated Managers Group Inc,2014-06-30,2019-12-20,Actavis acquires Forest Laboratories,Market capitalization change.,fmp:sp500,
AMGN,Amgen,1991-12-31,,Annual Re-ranking,,fmp:sp500,0000318154
AMP,Ameriprise Financial,2005-09-30,,Annual Re-ranking,,fmp:sp500,0000820027
AMT,American Tower,2007-11-16,,Annual Re-ranking,,fmp:sp500,0001053507
AMTM,Amentum,2024-10-30,2024-12-22,Market capitalization change.,Market capitalization change.,fmp:sp500,
AMZN,Amazon,2005-11-18,,AT&T Corp. acquired by SBC Communications,,fmp:sp500,0001018724
AN,Airco Inc,2003-02-21,2017-08-07,Annual Re-ranking,"BHF replaced AN,",fmp:sp500,
ANDV,Andeavor,2007-09-26,2018-09-28,MXIM delisted from NASDAQ exchange.,ANDV acquired by Marathon Petroleum.,fmp:sp500,
ANDW,Andrew Corp.,1984-11-23,2006-09-29,Annual Re-ranking,Annual Re-ranking,fmp:sp500,
ANET,Arista Networks,2018-08-27,,GGP acquired by Brookfield Property Partners.,,fmp:sp500,0001596532
ANF,Abercrombie & Fitch Co,2007-03-28,2013-12-20,Annual Re-ranking,Market capitalization changes.,fmp:sp500,
ANR,American Natural Resource Co,2011-06-01,2012-10-01,Alpha Natural Resources acquired Massey Energy.,Kraft split into two companies,fmp:sp500,
ANSS,ANSYS Inc.,2017-06-19,2025-07-17,Market capitalization changes.,S&P 500 constituent Synopsys Inc. acquired Ansys.,fmp:sp500,
AON,Aon,1996-04-22,,Annual Re-ranking,,fmp:sp500,0000315293
AOS,A. O. Smith,2017-07-25,,Market capitalization change.,,fmp:sp500,0000091142
APA,APA Corporation,1997-07-25,,Annual Re-ranking,,fmp:sp500,0001841666
APC,Alpha Portland Inds Inc,1997-07-25,2019-08-08,Annual Re-ranking,S&P 500 & 100 constituent Occidental Petroleum Corp. (NYSE:OXY) acquired Anadarko Petroleum.,fmp:sp500,
APCC,American Power Conversion Corp,2000-05-31,2007-02-14,Annual Re-ranking,Annual Re-ranking,fmp:sp500,
APD,Air Products,1985-04-11,,Annual Re-ranking,,fmp:sp500,0000002969
APH,Amphenol,2008-09-29,,Annual Re-ranking,,fmp:sp500,0000820313
APO,Apollo Global Management,2024-12-22,,Market capitalization change.,,fmp:sp500,0001858681
APOL,Apollo Education Group,2002-05-14,2013-06-28,Annual Re-ranking,Apollo Group's market cap more representative of a mid-cap,fmp:sp500,
APP,AppLovin Corporation,2025-09-21,,Market capitalization changes,,fmp:sp500,0001751008
APTV,Aptiv,2012-12-21,,TIE acquired by Precision Cast Parts (PCP),,fmp:sp500,0001521332
ARE,Alexandria Real Estate Equities,2017-03-20,,Market capitalization change.,,fmp:sp500,0001035443
ARES,Ares Management Corporation,2025-12-11,,Mars Inc. acquired Kellanova.,,fmp:sp500,0001176948
ARG,Airgas Inc.,2009-09-08,2016-05-20,Redomesticated to Ireland,ARG acquired by Air Liquide,fmp:sp500,
ASH,Ashland Global Holdings Inc,1989-08-03,2008-11-13,Annual Re-ranking,Annual Re-ranking,fmp:sp500,
ASN,,2004-12-17,2007-10-05,Annual Re-ranking,Annual Re-ranking,fmp:sp500,
ASO,AmSouth Bancorp,1999-03-09,2006-11-03,Annual Re-ranking,Annual Re-ranking,fmp:sp500,
AT,Alltel Corp,1994-12-20,2007-11-16,Annual Re-ranking,Annual Re-ranking,fmp:sp500,
ATGE,"DeVry, Inc.",2009-06-08,2012-09-28,Annual Re-ranking,Tyco spin-off merged w/Pentair,fmp:sp500,
ATI,Allegheny Technologies Inc.,1994-04-05,2015-07-01,Annual Re-ranking,Spin off of Columbia Pipeline.,fmp:sp500,
ATO,Atmos Energy,2019-02-14,,ECA acquired NFX,,fmp:sp500,0000731802
