ticker,name,start_date,end_date,add_reason,remove_reason,source
A,Agilent Technologies,2000-06-05,,,,fja05680
AABA,,1999-12-08,2017-06-19,,,fja05680
AAL,American Airlines Group,2015-03-23,2024-09-23,,Market capitalization change.[29],fja05680
AAP,Advance Auto Parts,2015-07-09,2023-08-25,,,fja05680
AAPL,Apple Inc.,1996-01-02,,,,fja05680
ABBV,AbbVie,2013-01-02,,ABBV spun off from Abbott Labs (ABT)[210],,fja05680
ABC,,2001-08-30,2023-08-30,,,fja05680
ABI,,1996-01-02,2008-11-24,,,fja05680
ABKFQ,,2000-12-11,2008-06-11,,,fja05680
ABMD,Abiomed,2018-05-31,2022-12-22,Wyndham Worldwide spun off Wyndham Hotels & Resorts (NYSE:WH).[112],S&P 500 constituent Johnson & Johnson acquired Abiomed.[45],fja05680
ABNB,Airbnb,2023-09-18,,,,fja05680
ABS,Albertsons,1996-01-02,2006-06-02,,Albertsons acquired by SuperValu and CVS Corp.[269],fja05680
ABT,Abbott Laboratories,1996-01-02,,,,fja05680
ACAS,American Capital,2007-07-09,2009-03-04,,Capitalization rebalance.[255],fja05680
ACGL,Arch Capital Group,2022-11-01,,,,fja05680
ACN,Accenture,2011-07-06,,,,fja05680
ACS,,2004-04-02,2010-02-08,,,fja05680
ACV,,1996-01-02,2006-11-17,,,fja05680
ADBE,Adobe Inc.,1997-05-06,,,,fja05680
ADCT,ADC Telecommunications,1999-08-02,2007-07-02,,Discover Financial Services debuts on New York Stock Exchange.[266],fja05680
ADI,Analog Devices,1999-10-12,,,,fja05680
ADM,Archer Daniels Midland,1996-01-02,,,,fja05680
ADP,Automatic Data Processing,1996-01-02,,,,fja05680
ADS,Alliance Data Systems,2013-12-23,2020-06-22,,Market capitalization change.[72],fja05680
ADSK,Autodesk,1996-01-02,,,,fja05680
ADT,ADT,2012-10-02,2016-05-02,Tyco spun off ADT,ADT acquired by APO[147],fja05680
AEE,Ameren,1996-01-02,,,,fja05680
AEP,American Electric Power,1996-01-02,,,,fja05680
AES,AES Corporation,1998-10-02,,,,fja05680
AET,Aetna,1996-01-02,2018-11-29,,CVS acquired Aetna[100],fja05680
AFL,Aflac,1999-05-28,,,,fja05680
AGN,Allergan,1996-01-02,2020-05-12,,Allergan acquired by AbbVie.[74],fja05680
AIG,American International Group,1996-01-02,,,,fja05680
AIV,Apartment Investment & Management,2003-03-14,2020-12-21,,,fja05680
AIZ,Assurant,2007-04-10,,,,fja05680
AJG,Arthur J. Gallagher & Co.,2016-05-31,,,,fja05680
AKAM,Akamai Technologies,2007-07-12,,,,fja05680
AKS,AK Steel,2008-07-01,2011-12-19,,Market capitalization changes[228],fja05680
ALB,Albemarle Corporation,2016-07-01,,,,fja05680
ALGN,Align Technology,2017-06-19,,,,fja05680
ALK,Alaska Air Group,2016-05-13,2023-10-18,,,fja05680
